t,x,y,theta,v,omega,h,gamma1,gamma2
0.000000,0.000000,-0.350000,0.000000,0.000196,-0.118228,0.906213,0.001000,0.001000
0.100000,0.000020,-0.350000,-0.011823,0.062238,2.000000,0.724652,0.001000,0.001000
0.200000,0.006209,-0.349453,0.188177,0.121457,1.999999,0.767236,0.001000,0.001000
0.300000,0.017834,-0.346007,0.388177,0.176046,1.999951,0.809027,0.001000,0.001000
0.400000,0.033357,-0.337764,0.588172,0.224787,1.702500,0.848045,0.001000,0.001000
0.500000,0.050909,-0.323764,0.758422,0.267268,1.327562,0.877263,0.882985,0.001000
0.600000,0.069035,-0.304150,0.891178,0.303842,1.023894,0.896565,0.762714,0.001000
0.700000,0.086889,-0.279581,0.993568,0.335269,0.777585,0.908428,0.672511,0.001000
0.800000,0.104074,-0.250803,1.071326,0.362263,0.578112,0.914491,0.542218,0.001000
0.900000,0.120497,-0.218519,1.129138,0.385449,0.417189,0.915863,0.592331,0.001000
1.000000,0.136241,-0.183339,1.170856,0.405345,0.288081,0.913203,0.572286,0.001000
1.100000,0.151484,-0.145781,1.199665,0.422352,0.185201,0.906969,0.542218,0.001000
1.200000,0.166436,-0.106282,1.218185,0.436777,0.103851,0.897366,0.492105,0.001000
1.300000,0.181307,-0.065214,1.228570,0.448853,0.040062,0.884521,0.482083,0.001000
1.400000,0.196285,-0.022902,1.232576,0.458760,-0.009532,0.868457,0.472060,0.001000
1.500000,0.211527,0.020368,1.231623,0.466634,-0.047779,0.849200,0.492105,0.001000
1.600000,0.227158,0.064336,1.226845,0.472580,-0.077089,0.826691,0.472060,0.001000
1.700000,0.243265,0.108764,1.219136,0.476675,-0.099508,0.800985,0.522173,0.001000
1.800000,0.259907,0.153432,1.209185,0.478971,-0.116782,0.772069,0.502128,0.001000
1.900000,0.277113,0.198131,1.197507,0.479495,-0.130416,0.740005,0.542218,0.001000
2.000000,0.294890,0.242664,1.184465,0.478243,-0.141763,0.704889,0.522173,0.001000
2.100000,0.313223,0.286834,1.170289,0.475169,-0.152084,0.666873,0.582308,0.001000
2.200000,0.332081,0.330448,1.155081,0.470182,-0.162649,0.626171,0.602353,0.001000
2.300000,0.351418,0.373305,1.138816,0.463106,-0.174906,0.583007,0.632421,0.001000
2.400000,0.371174,0.415190,1.121325,0.453677,-0.190687,0.537760,0.642444,0.001000
2.500000,0.391274,0.455861,1.102256,0.428579,-0.212809,0.490849,0.953143,0.001000
2.600000,0.411034,0.493891,1.080976,0.078405,-0.251028,0.444248,1.113504,0.001000
2.700000,0.414809,0.500763,1.055873,0.120694,-0.226438,0.435880,1.053368,0.001000
2.800000,0.420871,0.511199,1.033229,0.081976,-0.218729,0.422677,1.053368,0.001000
2.900000,0.425145,0.518194,1.011356,0.030773,-0.209539,0.413746,1.083436,0.001000
3.000000,0.426806,0.520785,0.990402,0.022397,-0.195027,0.410520,1.093459,0.001000
3.100000,0.428052,0.522646,0.970899,0.087017,-0.183224,0.408172,1.033323,0.001000
3.200000,0.433030,0.529783,0.952577,-0.008107,-0.191437,0.398754,1.103481,0.001000
3.300000,0.432554,0.529127,0.933433,0.050284,-0.179327,0.399709,1.063391,0.001000
3.400000,0.435582,0.533141,0.915501,0.011871,-0.185131,0.394335,1.093459,0.001000
3.500000,0.436314,0.534075,0.896987,0.031559,-0.183016,0.393106,1.083436,0.001000
3.600000,0.438306,0.536523,0.878686,0.092912,-0.186402,0.389804,1.023301,0.001000
3.700000,0.444302,0.543621,0.860046,-0.012515,-0.207827,0.380087,1.103481,0.001000
3.800000,0.443475,0.542681,0.839263,0.011809,-0.200472,0.381428,1.103481,0.001000
3.900000,0.444273,0.543552,0.819216,0.085567,-0.200811,0.380233,1.043346,0.001000
4.000000,0.450178,0.549744,0.799135,0.057464,-0.221585,0.371634,1.053368,0.001000
4.100000,0.454230,0.553818,0.776976,-0.005104,-0.234299,0.365909,1.113504,0.001000
4.200000,0.453862,0.553465,0.753546,0.032944,-0.228218,0.366455,1.103481,0.001000
4.300000,0.456290,0.555691,0.730724,0.105129,-0.233033,0.363312,1.043346,0.001000
4.400000,0.464200,0.562616,0.707421,0.057762,-0.258364,0.353410,1.073414,0.001000
4.500000,0.468638,0.566312,0.681585,0.056478,-0.266963,0.348118,1.083436,0.001000
4.600000,0.473071,0.569812,0.654888,0.049424,-0.274733,0.343099,1.103481,0.001000
4.700000,0.477032,0.572768,0.627415,0.079205,-0.279190,0.338810,1.093459,0.001000
4.800000,0.483508,0.577327,0.599496,0.100389,-0.290713,0.332115,1.083436,0.001000
4.900000,0.491877,0.582870,0.570425,0.098310,-0.306114,0.323886,1.093459,0.001000
5.000000,0.500232,0.588052,0.539813,0.114597,-0.317610,0.316144,1.093459,0.001000
5.100000,0.510154,0.593785,0.508052,0.111867,-0.331402,0.307461,1.113504,0.001000
5.200000,0.520016,0.599064,0.474912,0.139920,-0.340548,0.299422,1.113504,0.001000
5.300000,0.532566,0.605249,0.440857,0.147222,-0.354357,0.289814,1.133549,0.001000
5.400000,0.545989,0.611294,0.405422,0.165780,-0.365673,0.280341,1.153594,0.001000
5.500000,0.561339,0.617552,0.368854,0.173265,-0.378271,0.270354,1.193684,0.001000
5.600000,0.577615,0.623492,0.331027,0.199817,-0.387597,0.260729,1.233774,0.001000
5.700000,0.596633,0.629619,0.292268,0.232863,-0.397542,0.250600,1.283887,0.001000
5.800000,0.619059,0.635883,0.252513,0.259789,-0.409186,0.239919,1.364068,0.001000
5.900000,0.644340,0.641857,0.211595,0.287901,-0.420401,0.229414,1.484338,0.001000
6.000000,0.672607,0.647310,0.169555,0.330096,-0.429650,0.219360,1.654722,0.001000
6.100000,0.705253,0.652180,0.126590,0.411949,-0.433343,0.209705,1.885241,0.001000
6.200000,0.746218,0.656494,0.083255,0.535753,-0.429001,0.199921,2.215985,0.001000
6.300000,0.799687,0.659803,0.040355,0.772746,-0.385974,0.189996,1.183662,0.321722
6.400000,0.876939,0.661430,0.001758,0.724843,-0.418311,0.178663,0.572286,0.001000
6.500000,0.949405,0.660041,-0.040073,0.683381,-0.446804,0.170494,0.552241,0.001000
6.600000,1.017605,0.655779,-0.084754,0.647920,-0.474524,0.164620,0.552241,0.001000
6.700000,1.082010,0.648765,-0.132206,0.618194,-0.503259,0.160250,0.512150,0.001000
6.800000,1.143059,0.639078,-0.182532,0.594006,-0.533305,0.156457,0.502128,0.001000
6.900000,1.201157,0.626743,-0.235862,0.575137,-0.563571,0.152376,0.492105,0.001000
7.000000,1.256671,0.611735,-0.292219,0.561252,-0.592061,0.147165,0.512150,0.001000
7.100000,1.309907,0.593985,-0.351426,0.551829,-0.616815,0.139878,0.492105,0.001000
7.200000,1.361098,0.573404,-0.413107,0.545978,-0.637188,0.129484,0.482083,0.001000
7.300000,1.410371,0.549908,-0.476826,0.358626,-0.697518,0.114705,0.652466,0.001000
7.400000,1.441634,0.532351,-0.546578,0.009060,-0.739315,0.102900,0.742669,0.001000
7.500000,1.442390,0.531852,-0.620509,-0.032916,-0.648257,0.105443,0.872962,0.001000
7.600000,1.439776,0.533851,-0.685335,-0.019167,-0.551658,0.108843,1.013278,0.001000
7.700000,1.438326,0.535104,-0.740501,-0.022085,-0.472284,0.110965,1.173639,0.001000
7.800000,1.436732,0.536632,-0.787729,0.035734,-0.395008,0.112619,1.303932,0.001000
7.900000,1.439202,0.534050,-0.827230,0.036584,-0.339689,0.112417,1.354045,0.001000
8.000000,1.441632,0.531316,-0.861199,-0.092772,-0.306155,0.112030,1.514406,0.001000
