t,x,y,theta,v,omega,h,gamma1,gamma2
0.000000,0.000000,-0.350000,0.000000,0.000196,-0.118228,0.906213,0.001000,0.001000
0.100000,0.000020,-0.350000,-0.011823,0.062238,2.000000,0.724652,0.001000,0.001000
0.200000,0.006209,-0.349453,0.188177,0.121457,1.999999,0.767236,0.001000,0.001000
0.300000,0.017834,-0.346007,0.388177,0.176046,1.999999,0.809027,0.001000,0.001000
0.400000,0.033357,-0.337764,0.588177,0.224787,1.702488,0.848046,0.001000,0.001000
0.500000,0.050908,-0.323764,0.758426,0.267249,1.327553,0.877263,0.001000,0.001000
0.600000,0.069033,-0.304151,0.891181,0.303834,1.023889,0.896566,0.001000,0.001000
0.700000,0.086887,-0.279583,0.993570,0.335262,0.777577,0.908428,0.001000,0.001000
0.800000,0.104072,-0.250806,1.071328,0.362257,0.578100,0.914492,0.001000,0.001000
0.900000,0.120494,-0.218522,1.129138,0.385448,0.417176,0.915863,0.001000,0.001000
1.000000,0.136238,-0.183342,1.170855,0.405347,0.288070,0.913203,0.001000,0.001000
1.100000,0.151481,-0.145784,1.199662,0.422355,0.185194,0.906970,0.001000,0.001000
1.200000,0.166433,-0.106285,1.218182,0.436780,0.103848,0.897367,0.001000,0.001000
1.300000,0.181305,-0.065216,1.228567,0.448856,0.040061,0.884521,0.001000,0.001000
1.400000,0.196283,-0.022904,1.232573,0.458762,-0.009531,0.868458,0.001000,0.001000
1.500000,0.211526,0.020366,1.231620,0.466637,-0.047776,0.849201,0.001000,0.001000
1.600000,0.227156,0.064334,1.226842,0.472582,-0.077086,0.826692,0.001000,0.001000
1.700000,0.243264,0.108762,1.219133,0.476677,-0.099505,0.800986,0.001000,0.001000
1.800000,0.259906,0.153430,1.209183,0.478972,-0.116779,0.772070,0.001000,0.001000
1.900000,0.277112,0.198130,1.197505,0.479497,-0.130413,0.740006,0.001000,0.001000
2.000000,0.294889,0.242662,1.184464,0.478245,-0.141760,0.704890,0.001000,0.001000
2.100000,0.313223,0.286833,1.170288,0.475171,-0.152081,0.666874,0.001000,0.001000
2.200000,0.332081,0.330447,1.155080,0.470183,-0.162646,0.626172,0.001000,0.001000
2.300000,0.351418,0.373304,1.138815,0.463108,-0.174904,0.583007,0.001000,0.001000
2.400000,0.371174,0.415189,1.121325,0.453678,-0.190685,0.537761,0.001000,0.001000
2.500000,0.391274,0.455860,1.102256,0.441506,-0.212499,0.490850,0.001000,0.001000
2.600000,0.411629,0.495038,1.081006,0.426065,-0.244182,0.442786,0.001000,0.001000
2.700000,0.432130,0.532387,1.056588,0.406816,-0.291335,0.394183,0.001000,0.001000
2.800000,0.452652,0.567511,1.027454,0.383539,-0.361700,0.345687,0.001000,0.001000
2.900000,0.473070,0.599976,0.991284,0.357043,-0.463403,0.297943,0.001000,0.001000
3.000000,0.493307,0.629387,0.944944,0.329739,-0.599963,0.251405,0.001000,0.001000
3.100000,0.513413,0.655516,0.884948,0.305255,-0.762801,0.206563,0.001000,0.001000
3.200000,0.533627,0.678379,0.808668,0.286728,-0.928201,0.164368,0.001000,0.001000
3.300000,0.554358,0.698172,0.715848,0.275339,-1.065820,0.126360,0.001000,0.001000
3.400000,0.576056,0.715101,0.609266,0.270319,-1.149447,0.094469,0.001000,0.001000
3.500000,0.599064,0.729264,0.494321,0.269707,-1.165852,0.070144,0.001000,0.001000
3.600000,0.623497,0.740648,0.377736,0.271206,-1.117035,0.053595,0.001000,0.001000
3.700000,0.649211,0.749224,0.266032,0.272863,-1.014147,0.044101,0.001000,0.001000
3.800000,0.675856,0.755051,0.164617,0.273429,-0.872779,0.040247,0.001000,0.001000
3.900000,0.702991,0.758350,0.077340,0.272410,-0.708157,0.040488,0.001000,0.001000
4.000000,0.730202,0.759492,0.006524,0.269966,-0.535231,0.043213,0.001000,0.001000
4.100000,0.757190,0.758945,-0.046999,0.266617,-0.366307,0.047142,0.001000,0.001000
4.200000,0.783793,0.757205,-0.083630,0.262963,-0.211198,0.051393,0.001000,0.001000
4.300000,0.809972,0.754732,-0.104750,0.259508,-0.077143,0.055457,0.001000,0.001000
4.400000,0.835770,0.751919,-0.112464,0.256563,0.031078,0.059093,0.001000,0.001000
4.500000,0.861269,0.749080,-0.109356,0.254249,0.110585,0.062201,0.001000,0.001000
4.600000,0.886557,0.746445,-0.098298,0.252537,0.161093,0.064741,0.001000,0.001000
4.700000,0.911708,0.744169,-0.082188,0.251316,0.185241,0.066724,0.001000,0.001000
4.800000,0.936772,0.742338,-0.063664,0.250461,0.186441,0.068106,0.001000,0.001000
4.900000,0.961781,0.740977,-0.045020,0.249867,0.168918,0.068849,0.001000,0.001000
5.000000,0.986750,0.740064,-0.028128,0.249466,0.137417,0.068937,0.001000,0.001000
5.100000,1.011691,0.739533,-0.014387,0.249229,0.096305,0.068396,0.001000,0.001000
5.200000,1.036613,0.739295,-0.004756,0.249155,0.050060,0.067319,0.001000,0.001000
5.300000,1.061528,0.739239,0.000250,0.249259,0.001935,0.065834,0.001000,0.001000
5.400000,1.086454,0.739247,0.000443,0.249559,-0.045703,0.064089,0.001000,0.001000
5.500000,1.111410,0.739201,-0.004127,0.250076,-0.091672,0.062237,0.001000,0.001000
5.600000,1.136417,0.738984,-0.013294,0.250840,-0.135713,0.060414,0.001000,0.001000
5.700000,1.161495,0.738480,-0.026865,0.251897,-0.178733,0.058730,0.001000,0.001000
5.800000,1.186669,0.737578,-0.044739,0.253328,-0.222266,0.057254,0.001000,0.001000
5.900000,1.211961,0.736164,-0.066965,0.255267,-0.268397,0.056021,0.001000,0.001000
6.000000,1.237405,0.734114,-0.093805,0.257919,-0.318953,0.055032,0.001000,0.001000
6.100000,1.263040,0.731290,-0.125700,0.261567,-0.374953,0.054275,0.001000,0.001000
6.200000,1.288923,0.727525,-0.163196,0.266565,-0.436079,0.053684,0.001000,0.001000
6.300000,1.315123,0.722622,-0.206804,0.273268,-0.498887,0.053305,0.001000,0.001000
6.400000,1.341716,0.716346,-0.256692,0.281974,-0.558622,0.053187,0.001000,0.001000
6.500000,1.368776,0.708429,-0.312554,0.292832,-0.609572,0.053412,0.001000,0.001000
6.600000,1.396349,0.698581,-0.373512,0.305810,-0.647196,0.053945,0.001000,0.001000
6.700000,1.424440,0.686510,-0.438231,0.320691,-0.668849,0.054596,0.001000,0.001000
6.800000,1.453002,0.671941,-0.505116,0.337093,-0.674306,0.054964,0.001000,0.001000
6.900000,1.481930,0.654647,-0.572547,0.354488,-0.665940,0.054305,0.001000,0.001000
7.000000,1.511064,0.634464,-0.639141,0.372033,-0.649188,0.051660,0.001000,0.001000
7.100000,1.540183,0.611319,-0.704060,0.387501,-0.639758,0.045613,0.001000,0.001000
7.200000,1.568897,0.585308,-0.768035,0.196286,-0.770666,0.031561,0.001000,0.001000
7.300000,1.582476,0.571141,-0.845102,0.083282,-0.984398,0.016122,0.001000,0.001000
7.400000,1.587688,0.564649,-0.943542,0.070721,-1.031490,0.010817,0.001000,0.001000
7.500000,1.591536,0.558720,-1.046691,0.070113,-1.035800,0.008049,0.001000,0.001000
7.600000,1.594724,0.552479,-1.150271,0.073572,-1.019654,0.006332,0.001000,0.001000
7.700000,1.597381,0.545621,-1.252236,0.079431,-0.988971,0.005255,0.001000,0.001000
7.800000,1.599492,0.537967,-1.351133,0.088200,-0.946065,0.004637,0.001000,0.001000
7.900000,1.601004,0.529281,-1.445740,0.103412,-0.892919,0.004304,0.001000,0.001000
8.000000,1.601834,0.518977,-1.535032,0.127944,-0.825199,0.004236,0.001000,0.001000
