t,x,y,theta,v,omega,h,gamma1,gamma2
0.000000,0.000000,-0.350000,0.000000,0.000196,-0.118228,0.906213,1.400000,0.300000
0.010000,0.000002,-0.350000,-0.001182,0.006291,2.000000,0.734675,1.400000,0.300000
0.020000,0.000065,-0.349999,0.018818,0.012481,2.000000,0.735000,1.400000,0.300000
0.030000,0.000190,-0.349996,0.038818,0.018646,2.000000,0.737921,1.400000,0.300000
0.040000,0.000376,-0.349987,0.058818,-1.949713,1.999999,0.741499,1.400000,0.300000
0.050000,-0.019075,-0.351327,0.078818,-0.875136,1.756142,0.835548,1.400000,0.300000
0.060000,-0.027792,-0.352093,0.096379,-0.153730,1.533689,0.845505,1.400000,0.300000
0.070000,-0.029321,-0.352253,0.111716,0.063161,1.544565,0.842564,1.400000,0.300000
0.080000,-0.028694,-0.352177,0.127162,0.068362,1.613489,0.837869,1.400000,0.300000
0.090000,-0.028017,-0.352085,0.143297,0.073625,1.666168,0.834217,1.400000,0.300000
0.100000,-0.027289,-0.351974,0.159958,0.078928,1.705800,0.831466,1.400000,0.300000
0.110000,-0.026511,-0.351842,0.177016,0.084254,1.734867,0.829485,1.400000,0.300000
0.120000,-0.025683,-0.351686,0.194365,0.089591,1.755304,0.828157,1.400000,0.300000
0.130000,-0.024806,-0.351505,0.211918,0.094930,1.768643,0.827383,1.400000,0.300000
0.140000,-0.023879,-0.351298,0.229604,0.100261,1.776101,0.827078,1.400000,0.300000
0.150000,-0.022905,-0.351061,0.247365,0.105578,1.778658,0.827170,1.400000,0.300000
0.160000,-0.021884,-0.350793,0.265152,0.110876,1.777111,0.827597,1.400000,0.300000
0.170000,-0.020816,-0.350493,0.282923,0.116150,1.772112,0.828308,1.400000,0.300000
0.180000,-0.019704,-0.350159,0.300644,0.121396,1.764198,0.829255,1.400000,0.300000
0.190000,-0.018548,-0.349789,0.318286,0.126611,1.753817,0.830393,1.400000,0.300000
0.200000,-0.017349,-0.349383,0.335824,0.131793,1.741342,0.831698,1.400000,0.300000
0.210000,-0.016108,-0.348937,0.353238,0.136938,1.727090,0.833144,1.400000,0.300000
0.220000,-0.014828,-0.348453,0.370509,0.142044,1.711328,0.834709,1.400000,0.300000
0.230000,-0.013508,-0.347927,0.387622,0.147110,1.694282,0.836372,1.400000,0.300000
0.240000,-0.012151,-0.347359,0.404565,0.152135,1.676147,0.838115,1.400000,0.300000
0.250000,-0.010757,-0.346749,0.421326,0.157116,1.657091,0.839923,1.400000,0.300000
0.260000,-0.009329,-0.346094,0.437897,0.162052,1.637259,0.841778,1.400000,0.300000
0.270000,-0.007867,-0.345395,0.454270,0.166943,1.616774,0.843665,1.400000,0.300000
0.280000,-0.006373,-0.344651,0.470437,0.171787,1.595747,0.845584,1.400000,0.300000
0.290000,-0.004848,-0.343860,0.486395,0.176584,1.574271,0.847525,1.400000,0.300000
0.300000,-0.003294,-0.343022,0.502138,0.181333,1.552430,0.849481,1.400000,0.300000
0.310000,-0.001711,-0.342137,0.517662,0.186033,1.530297,0.851445,1.400000,0.300000
0.320000,-0.000101,-0.341204,0.532965,0.190684,1.507935,0.853412,1.400000,0.300000
0.330000,0.001534,-0.340223,0.548044,0.195285,1.485401,0.855363,1.400000,0.300000
0.340000,0.003193,-0.339193,0.562898,0.199836,1.462744,0.857296,1.400000,0.300000
0.350000,0.004875,-0.338114,0.577526,0.204338,1.440009,0.859215,1.400000,0.300000
0.360000,0.006579,-0.336987,0.591926,0.208789,1.417234,0.861121,1.400000,0.300000
0.370000,0.008303,-0.335809,0.606098,0.213189,1.394454,0.863010,1.400000,0.300000
0.380000,0.010047,-0.334583,0.620043,0.217539,1.371698,0.864879,1.400000,0.300000
0.390000,0.011809,-0.333307,0.633760,0.221838,1.348994,0.866710,1.400000,0.300000
0.400000,0.013587,-0.331981,0.647250,0.226086,1.326366,0.868519,1.400000,0.300000
0.410000,0.015382,-0.330606,0.660513,0.230284,1.303836,0.870303,1.400000,0.300000
0.420000,0.017191,-0.329181,0.673552,0.234432,1.281423,0.872051,1.400000,0.300000
0.430000,0.019014,-0.327707,0.686366,0.238529,1.259142,0.873764,1.400000,0.300000
0.440000,0.020849,-0.326184,0.698957,0.242576,1.237010,0.875441,1.400000,0.300000
0.450000,0.022697,-0.324612,0.711327,0.246573,1.215040,0.877079,1.400000,0.300000
0.460000,0.024555,-0.322991,0.723478,0.250520,1.193242,0.878687,1.400000,0.300000
0.470000,0.026422,-0.321321,0.735410,0.254418,1.171628,0.880266,1.400000,0.300000
0.480000,0.028299,-0.319603,0.747127,0.258266,1.150207,0.881809,1.400000,0.300000
0.490000,0.030184,-0.317837,0.758629,0.262066,1.128986,0.883303,1.400000,0.300000
0.500000,0.032075,-0.316024,0.769918,0.265817,1.107973,0.884749,1.400000,0.300000
