t,x,y,theta,v,omega,h,gamma1,gamma2
0.000000,0.000000,-0.350000,0.000000,0.000196,-0.118228,0.906213,0.228561,0.121215
0.010000,0.000002,-0.350000,-0.001182,-1.074595,2.000000,0.734675,0.322105,0.143898
0.020000,-0.010743,-0.350095,0.018818,-0.318002,1.523358,0.850369,0.255568,0.128177
0.030000,-0.013922,-0.350179,0.034051,-0.054258,1.601053,0.843436,0.259137,0.129069
0.040000,-0.014464,-0.350202,0.050062,0.033722,1.747934,0.832043,0.265109,0.130548
0.050000,-0.014128,-0.350182,0.067541,0.039261,1.875104,0.822027,0.270473,0.131862
0.060000,-0.013736,-0.350152,0.086292,0.044895,1.958354,0.815211,0.274186,0.132764
0.070000,-0.013289,-0.350109,0.105876,0.050578,2.000000,0.810744,0.276646,0.133358
0.080000,-0.012787,-0.350050,0.125876,0.056283,2.000000,0.807983,0.278178,0.133727
0.090000,-0.012229,-0.349974,0.145876,0.061993,2.000000,0.806438,0.279039,0.133934
0.100000,-0.011617,-0.349878,0.165876,0.067696,2.000000,0.805824,0.279382,0.134016
0.110000,-0.010950,-0.349759,0.185876,0.073382,2.000000,0.805934,0.279320,0.134001
0.120000,-0.010231,-0.349616,0.205876,0.079045,2.000000,0.806617,0.278939,0.133910
0.130000,-0.009459,-0.349447,0.225876,0.084680,2.000000,0.807752,0.278307,0.133758
0.140000,-0.008635,-0.349249,0.245876,0.090283,2.000000,0.809255,0.277471,0.133557
0.150000,-0.007762,-0.349021,0.265876,0.095850,2.000000,0.811060,0.276472,0.133316
0.160000,-0.006840,-0.348760,0.285876,0.101378,2.000000,0.813113,0.275339,0.133043
0.170000,-0.005870,-0.348464,0.305876,0.106865,1.982590,0.815371,0.274098,0.132743
0.180000,-0.004854,-0.348132,0.325702,0.112309,1.957772,0.817762,0.272790,0.132426
0.190000,-0.003794,-0.347762,0.345279,0.117708,1.931772,0.820243,0.271440,0.132097
0.200000,-0.002690,-0.347353,0.364597,0.123061,1.904846,0.822789,0.270061,0.131761
0.210000,-0.001545,-0.346904,0.383646,0.128365,1.877199,0.825380,0.268665,0.131421
0.220000,-0.000359,-0.346412,0.402418,0.133621,1.849005,0.827999,0.267262,0.131077
0.230000,0.000866,-0.345877,0.420908,0.138827,1.820403,0.830624,0.265863,0.130733
0.240000,0.002128,-0.345299,0.439112,0.143982,1.791513,0.833248,0.264471,0.130391
0.250000,0.003425,-0.344675,0.457027,0.149086,1.762434,0.835865,0.263090,0.130050
0.260000,0.004757,-0.344005,0.474651,0.154137,1.733249,0.838468,0.261724,0.129712
0.270000,0.006122,-0.343289,0.491984,0.159136,1.704028,0.841051,0.260376,0.129377
0.280000,0.007518,-0.342525,0.509024,0.164082,1.674831,0.843607,0.259048,0.129047
0.290000,0.008944,-0.341714,0.525772,0.168975,1.645708,0.846132,0.257743,0.128721
0.300000,0.010399,-0.340854,0.542229,0.173814,1.616703,0.848620,0.256464,0.128401
0.310000,0.011880,-0.339945,0.558396,0.178599,1.587851,0.851061,0.255215,0.128089
0.320000,0.013387,-0.338986,0.574275,0.183330,1.559185,0.853450,0.253998,0.127783
0.330000,0.014919,-0.337979,0.589867,0.188007,1.530731,0.855798,0.252808,0.127483
0.340000,0.016473,-0.336921,0.605174,0.192629,1.502512,0.858102,0.251646,0.127190
0.350000,0.018049,-0.335813,0.620199,0.197198,1.474547,0.860362,0.250511,0.126903
0.360000,0.019645,-0.334655,0.634945,0.201713,1.446852,0.862577,0.249404,0.126622
0.370000,0.021261,-0.333447,0.649413,0.206174,1.419441,0.864733,0.248331,0.126349
0.380000,0.022894,-0.332189,0.663607,0.210581,1.392326,0.866840,0.247286,0.126083
0.390000,0.024543,-0.330880,0.677531,0.214934,1.365516,0.868900,0.246270,0.125824
0.400000,0.026209,-0.329521,0.691186,0.219234,1.339021,0.870908,0.245283,0.125571
0.410000,0.027889,-0.328113,0.704576,0.223481,1.312846,0.872858,0.244328,0.125327
0.420000,0.029582,-0.326654,0.717705,0.227676,1.286996,0.874762,0.243399,0.125088
0.430000,0.031287,-0.325146,0.730574,0.231817,1.261477,0.876607,0.242503,0.124858
0.440000,0.033004,-0.323588,0.743189,0.235907,1.236292,0.878401,0.241634,0.124634
0.450000,0.034731,-0.321981,0.755552,0.239945,1.211443,0.880151,0.240790,0.124416
0.460000,0.036468,-0.320325,0.767667,0.243931,1.186932,0.881855,0.239971,0.124204
0.470000,0.038213,-0.318621,0.779536,0.247866,1.162759,0.883498,0.239184,0.124000
0.480000,0.039965,-0.316868,0.791164,0.251751,1.138927,0.885093,0.238422,0.123803
0.490000,0.041725,-0.315068,0.802553,0.255586,1.115433,0.886629,0.237691,0.123613
0.500000,0.043491,-0.313220,0.813707,0.259370,1.092279,0.888122,0.236982,0.123428
0.510000,0.045262,-0.311325,0.824630,0.263106,1.069463,0.889572,0.236295,0.123249
0.520000,0.047037,-0.309383,0.835325,0.266792,1.046984,0.890975,0.235634,0.123077
0.530000,0.048817,-0.307396,0.845794,0.270431,1.024842,0.892320,0.235001,0.122911
0.540000,0.050600,-0.305362,0.856043,0.274021,1.003033,0.893619,0.234391,0.122752
0.550000,0.052386,-0.303284,0.866073,0.277564,0.981555,0.894868,0.233806,0.122598
0.560000,0.054173,-0.301161,0.875889,0.281060,0.960407,0.896079,0.233240,0.122450
0.570000,0.055963,-0.298993,0.885493,0.284509,0.939587,0.897240,0.232699,0.122308
0.580000,0.057753,-0.296782,0.894889,0.287913,0.919091,0.898350,0.232184,0.122172
0.590000,0.059544,-0.294528,0.904080,0.291271,0.898917,0.899423,0.231686,0.122041
0.600000,0.061335,-0.292231,0.913069,0.294584,0.879062,0.900449,0.231211,0.121916
0.610000,0.063125,-0.289891,0.921859,0.297853,0.859523,0.901434,0.230756,0.121796
0.620000,0.064915,-0.287511,0.930455,0.301078,0.840297,0.902358,0.230330,0.121684
0.630000,0.066704,-0.285089,0.938858,0.304259,0.821381,0.903248,0.229920,0.121575
0.640000,0.068491,-0.282626,0.947071,0.307397,0.802772,0.904106,0.229526,0.121471
0.650000,0.070276,-0.280124,0.955099,0.310493,0.784466,0.904930,0.229148,0.121371
0.660000,0.072060,-0.277582,0.962944,0.313548,0.766460,0.905679,0.228805,0.121280
0.670000,0.073840,-0.275002,0.970608,0.316560,0.748751,0.906396,0.228477,0.121193
0.680000,0.075618,-0.272383,0.978096,0.319532,0.731335,0.907083,0.228163,0.121110
0.690000,0.077394,-0.269726,0.985409,0.322463,0.714209,0.907738,0.227865,0.121031
0.700000,0.079166,-0.267032,0.992551,0.325354,0.697370,0.908335,0.227593,0.120959
0.710000,0.080934,-0.264301,0.999525,0.328206,0.680814,0.908895,0.227338,0.120891
0.720000,0.082700,-0.261534,1.006333,0.331018,0.664537,0.909420,0.227099,0.120827
0.730000,0.084461,-0.258732,1.012978,0.333792,0.648536,0.909904,0.226880,0.120769
0.740000,0.086219,-0.255894,1.019464,0.336528,0.632808,0.910342,0.226681,0.120716
0.750000,0.087973,-0.253022,1.025792,0.339226,0.617348,0.910755,0.226494,0.120666
0.760000,0.089722,-0.250115,1.031965,0.341887,0.602154,0.911144,0.226318,0.120619
0.770000,0.091468,-0.247176,1.037987,0.344512,0.587223,0.911459,0.226175,0.120581
0.780000,0.093209,-0.244203,1.043859,0.347100,0.572549,0.911747,0.226045,0.120547
0.790000,0.094946,-0.241198,1.049585,0.349652,0.558131,0.912011,0.225925,0.120515
0.800000,0.096678,-0.238161,1.055166,0.352168,0.543965,0.912231,0.225826,0.120488
0.810000,0.098407,-0.235092,1.060606,0.354650,0.530047,0.912414,0.225744,0.120466
0.820000,0.100130,-0.231993,1.065906,0.357097,0.516373,0.912573,0.225672,0.120447
0.830000,0.101850,-0.228863,1.071070,0.359509,0.502941,0.912683,0.225622,0.120434
0.840000,0.103564,-0.225703,1.076099,0.361888,0.489747,0.912748,0.225593,0.120426
0.850000,0.105275,-0.222514,1.080997,0.364234,0.476788,0.912792,0.225573,0.120421
0.860000,0.106980,-0.219296,1.085765,0.366546,0.464060,0.912809,0.225565,0.120419
0.870000,0.108682,-0.216049,1.090405,0.368826,0.451560,0.912774,0.225581,0.120423
0.880000,0.110379,-0.212775,1.094921,0.371074,0.439285,0.912717,0.225607,0.120430
0.890000,0.112072,-0.209472,1.099314,0.373289,0.427231,0.912623,0.225649,0.120441
0.900000,0.113760,-0.206143,1.103586,0.375473,0.415396,0.912476,0.225715,0.120459
0.910000,0.115444,-0.202787,1.107740,0.377626,0.403776,0.912312,0.225790,0.120478
0.920000,0.117124,-0.199405,1.111778,0.379748,0.392367,0.912124,0.225875,0.120501
0.930000,0.118800,-0.195998,1.115701,0.381840,0.381167,0.911883,0.225983,0.120530
0.940000,0.120472,-0.192565,1.119513,0.383901,0.370173,0.911622,0.226101,0.120562
0.950000,0.122140,-0.189107,1.123215,0.385933,0.359381,0.911323,0.226237,0.120598
0.960000,0.123804,-0.185625,1.126809,0.387935,0.348789,0.910975,0.226394,0.120640
0.970000,0.125464,-0.182119,1.130296,0.389908,0.338393,0.910613,0.226558,0.120683
0.980000,0.127121,-0.178589,1.133680,0.391852,0.328190,0.910217,0.226738,0.120731
0.990000,0.128774,-0.175036,1.136962,0.393767,0.318178,0.909780,0.226936,0.120784
1.000000,0.130423,-0.171461,1.140144,0.395654,0.308353,0.909326,0.227142,0.120839
1.010000,0.132069,-0.167863,1.143228,0.397514,0.298713,0.908819,0.227373,0.120900
1.020000,0.133712,-0.164243,1.146215,0.399345,0.289254,0.908279,0.227618,0.120965
1.030000,0.135352,-0.160602,1.149107,0.401149,0.279974,0.907727,0.227870,0.121032
1.040000,0.136989,-0.156940,1.151907,0.402926,0.270870,0.907122,0.228145,0.121105
1.050000,0.138623,-0.153256,1.154616,0.404676,0.261939,0.906497,0.228431,0.121181
1.060000,0.140254,-0.149553,1.157235,0.406399,0.253178,0.905852,0.228726,0.121259
1.070000,0.141882,-0.145829,1.159767,0.408097,0.244586,0.905140,0.229052,0.121346
1.080000,0.143508,-0.142086,1.162213,0.409767,0.236158,0.904416,0.229383,0.121433
1.090000,0.145132,-0.138324,1.164574,0.411413,0.227892,0.903659,0.229731,0.121525
1.100000,0.146753,-0.134543,1.166853,0.413032,0.219786,0.902864,0.230097,0.121622
1.110000,0.148372,-0.130743,1.169051,0.414626,0.211836,0.902057,0.230468,0.121720
1.120000,0.149990,-0.126925,1.171169,0.416195,0.204042,0.901200,0.230863,0.121825
1.130000,0.151605,-0.123090,1.173210,0.417739,0.196399,0.900309,0.231276,0.121933
1.140000,0.153219,-0.119237,1.175174,0.419259,0.188905,0.899397,0.231698,0.122045
1.150000,0.154831,-0.115366,1.177063,0.420754,0.181558,0.898434,0.232144,0.122162
1.160000,0.156442,-0.111479,1.178878,0.422225,0.174355,0.897462,0.232596,0.122281
1.170000,0.158051,-0.107576,1.180622,0.423671,0.167294,0.896448,0.233068,0.122405
1.180000,0.159659,-0.103656,1.182295,0.425094,0.160373,0.895406,0.233555,0.122533
1.190000,0.161266,-0.099721,1.183899,0.426493,0.153589,0.894339,0.234054,0.122663
1.200000,0.162872,-0.095770,1.185435,0.427869,0.146939,0.893212,0.234582,0.122802
1.210000,0.164478,-0.091804,1.186904,0.429221,0.140422,0.892075,0.235116,0.122941
1.220000,0.166083,-0.087823,1.188308,0.430550,0.134034,0.890902,0.235668,0.123086
1.230000,0.167687,-0.083827,1.189649,0.431857,0.127775,0.889696,0.236237,0.123234
1.240000,0.169291,-0.079818,1.190926,0.433140,0.121641,0.888479,0.236813,0.123384
1.250000,0.170894,-0.075794,1.192143,0.434402,0.115631,0.887196,0.237421,0.123543
1.260000,0.172498,-0.071757,1.193299,0.435640,0.109742,0.885898,0.238038,0.123703
1.270000,0.174101,-0.067706,1.194396,0.436857,0.103972,0.884562,0.238675,0.123868
1.280000,0.175705,-0.063643,1.195436,0.438052,0.098318,0.883195,0.239328,0.124038
1.290000,0.177309,-0.059566,1.196419,0.439224,0.092780,0.881815,0.239990,0.124209
