t,x,y,theta,v,omega,h,gamma1,gamma2
0.000000,0.000000,-0.350000,0.000000,0.000000,0.000000,0.906548,0.000000,0.000000
0.010000,0.000000,-0.350000,0.000000,0.031092,2.000000,0.906548,0.000000,0.000000
0.020000,0.000311,-0.349997,0.020000,0.062048,2.000000,0.906632,0.000000,0.000000
0.030000,0.000931,-0.349978,0.040000,0.092849,2.000000,0.906801,0.000000,0.000000
0.040000,0.001858,-0.349932,0.060000,0.123477,2.000000,0.907052,0.000000,0.000000
0.050000,0.003090,-0.349846,0.080000,0.153914,2.000000,0.907385,0.000000,0.000000
0.060000,0.004623,-0.349707,0.100000,0.184142,2.000000,0.907799,0.000000,0.000000
0.070000,0.006453,-0.349505,0.120000,0.214143,2.000000,0.908293,0.000000,0.000000
0.080000,0.008577,-0.349227,0.140000,0.243901,2.000000,0.908865,0.000000,0.000000
0.090000,0.010988,-0.348863,0.160000,0.273399,2.000000,0.909504,0.000000,0.000000
0.100000,0.013683,-0.348400,0.180000,0.302619,2.000000,0.910202,0.000000,0.000000
0.110000,0.016654,-0.347829,0.200000,0.331544,2.000000,0.910971,0.000000,0.000000
0.120000,0.019897,-0.347138,0.220000,0.360160,2.000000,0.911808,0.000000,0.000000
0.130000,0.023404,-0.346317,0.240000,0.388449,2.000000,0.912678,0.000000,0.000000
0.140000,0.027167,-0.345356,0.260000,0.416397,2.000000,0.913610,0.000000,0.000000
0.150000,0.031180,-0.344245,0.280000,0.443988,2.000000,0.914590,0.000000,0.000000
0.160000,0.035435,-0.342975,0.300000,0.471207,2.000000,0.915599,0.000000,0.000000
0.170000,0.039922,-0.341538,0.320000,0.498041,2.000000,0.916660,0.000000,0.000000
0.180000,0.044634,-0.339924,0.340000,0.524474,2.000000,0.917727,0.000000,0.000000
0.190000,0.049560,-0.338126,0.360000,0.550495,2.000000,0.918817,0.000000,0.000000
0.200000,0.054693,-0.336135,0.380000,0.576088,2.000000,0.919905,0.000000,0.000000
0.210000,0.060021,-0.333945,0.400000,0.601243,2.000000,0.921025,0.000000,0.000000
0.220000,0.065535,-0.331548,0.420000,0.625947,2.000000,0.922126,0.000000,0.000000
0.230000,0.071225,-0.328939,0.440000,0.650188,1.979249,0.923233,0.000000,0.000000
0.240000,0.077079,-0.326112,0.459792,0.673955,1.934725,0.924301,0.000000,0.000000
0.250000,0.083090,-0.323063,0.479140,0.697240,1.890961,0.925360,0.000000,0.000000
0.260000,0.089246,-0.319790,0.498049,0.720035,1.847938,0.926407,0.000000,0.000000
0.270000,0.095540,-0.316292,0.516529,0.742332,1.805638,0.927375,0.000000,0.000000
0.280000,0.101961,-0.312568,0.534585,0.764125,1.764042,0.928327,0.000000,0.000000
0.290000,0.108502,-0.308617,0.552226,0.785407,1.723133,0.929225,0.000000,0.000000
0.300000,0.115152,-0.304439,0.569457,0.806172,1.682893,0.930044,0.000000,0.000000
0.310000,0.121905,-0.300036,0.586286,0.826416,1.643306,0.930830,0.000000,0.000000
0.320000,0.128751,-0.295407,0.602719,0.846134,1.604354,0.931510,0.000000,0.000000
0.330000,0.135683,-0.290555,0.618762,0.865320,1.566021,0.932128,0.000000,0.000000
0.340000,0.142692,-0.285481,0.634423,0.883972,1.528291,0.932642,0.000000,0.000000
0.350000,0.149771,-0.280187,0.649706,0.902086,1.491149,0.933094,0.000000,0.000000
0.360000,0.156913,-0.274677,0.664617,0.919658,1.454578,0.933400,0.000000,0.000000
0.370000,0.164111,-0.268952,0.679163,0.936686,1.418564,0.933629,0.000000,0.000000
0.380000,0.171357,-0.263017,0.693348,0.953169,1.383092,0.933734,0.000000,0.000000
0.390000,0.178646,-0.256875,0.707179,0.969103,1.348146,0.933720,0.000000,0.000000
0.400000,0.185970,-0.250529,0.720661,0.984488,1.313713,0.933586,0.000000,0.000000
0.410000,0.193325,-0.243984,0.733798,0.999322,1.279777,0.933302,0.000000,0.000000
0.420000,0.200703,-0.237244,0.746596,1.013605,1.246325,0.932903,0.000000,0.000000
0.430000,0.208100,-0.230314,0.759059,1.027336,1.213343,0.932356,0.000000,0.000000
0.440000,0.215510,-0.223199,0.771192,1.040514,1.180816,0.931640,0.000000,0.000000
0.450000,0.222928,-0.215903,0.783001,1.053140,1.148731,0.930786,0.000000,0.000000
0.460000,0.230350,-0.208431,0.794488,1.065215,1.117075,0.929790,0.000000,0.000000
0.470000,0.237771,-0.200789,0.805659,1.076739,1.085833,0.928615,0.000000,0.000000
0.480000,0.245186,-0.192982,0.816517,1.087712,1.054992,0.927264,0.000000,0.000000
0.490000,0.252593,-0.185016,0.827067,1.098138,1.024539,0.925755,0.000000,0.000000
